City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Kavieng,PG,80.94,light rain,-2.5744,150.7967,Nusa Island Retreat
5,Mangrol,IN,81.88,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
6,Yining,CN,79.79,overcast clouds,29.0361,114.5636,Xiushui Hotel
14,Dwarka,IN,83.08,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
18,Bukan,IR,88.45,clear sky,36.521,46.2089,فروشگاه پارچه صدیقی
28,Morehead,US,85.98,clear sky,37.2711,-87.1764,CCI Express Inn
32,Ugoofaaru,MV,82.18,overcast clouds,5.6667,73.0,Ungoofaaru Inn
33,Pangai,TO,76.69,clear sky,-19.8,-174.35,Ha'apai Beach Resort
34,Faanui,PF,76.71,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
36,Lorengau,PG,80.17,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
38,Atuona,PF,77.13,few clouds,-9.8,-139.0333,Villa Enata
41,Jamestown,US,78.06,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
42,Nikolskoye,RU,78.69,clear sky,59.7035,30.7861,Tourist House - Sablino
49,West Wendover,US,87.01,clear sky,40.7391,-114.0733,"Motel 6 Wendover, UT"
51,Dingle,PH,77.94,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
56,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Pirineos
58,Miri,MY,80.1,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
60,Ribeira Grande,PT,75.6,few clouds,38.5167,-28.7,Quinta da Meia Eira
64,Touros,BR,82.58,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
66,Hambantota,LK,79.61,moderate rain,6.1241,81.1185,Bungalow 63
72,Hithadhoo,MV,81.54,overcast clouds,-0.6,73.0833,Scoop Guest House
75,Kita,ML,85.37,light rain,13.0349,-9.4895,Hôtel Chat Rouge
80,Gat,IL,85.41,clear sky,31.61,34.7642,OlusHome
81,Zacualtipan,MX,75.31,scattered clouds,20.65,-98.6,Camino Real a Tizapán
82,Zhezkazgan,KZ,86.94,scattered clouds,47.8043,67.7144,Hotel Zumrat
85,Anjiang,CN,78.26,overcast clouds,27.3194,110.1031,Dahua Hotel
89,Victoria,HK,87.33,clear sky,22.2855,114.1577,Mini Central
91,Barinas,VE,80.04,broken clouds,8.6226,-70.2075,Hotel Mastranto Suite
95,Butaritari,KI,79.86,broken clouds,3.0707,172.7902,Isles Sunset Lodge
96,Ponta Do Sol,PT,75.13,clear sky,32.6667,-17.1,Hotel do Campo
