City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hobart,AU,-42.8794,147.3294,39.27,90,0,1.99,clear sky
1,Bluff,NZ,-46.6,168.3333,40.8,79,98,7.83,overcast clouds
2,Kavieng,PG,-2.5744,150.7967,80.94,79,100,9.95,light rain
3,Boone,US,39.0334,-92.3335,90.79,36,0,5.75,clear sky
4,Hovd,MN,48.0056,91.6419,64.92,43,83,2.86,broken clouds
5,Mangrol,IN,21.1167,70.1167,81.88,81,100,16.17,overcast clouds
6,Yining,CN,29.0361,114.5636,79.79,88,98,2.53,overcast clouds
7,Punta Arenas,CL,-53.15,-70.9167,35.71,75,20,21.85,few clouds
8,Qaanaaq,GL,77.484,-69.3632,46.11,69,100,5.37,overcast clouds
9,Provideniya,RU,64.3833,-173.3,39.76,77,99,9.93,overcast clouds
10,Hokitika,NZ,-42.7167,170.9667,40.71,72,0,7.85,clear sky
11,Kalemie,CD,-5.9475,29.1947,74.62,54,3,3.6,clear sky
12,Albany,US,42.6001,-73.9662,90.68,63,8,1.99,clear sky
13,Souillac,MU,-20.5167,57.5167,69.8,70,54,18.07,light rain
14,Dwarka,IN,22.2394,68.9678,83.08,81,98,18.52,overcast clouds
15,Busselton,AU,-33.65,115.3333,56.7,75,75,10.92,broken clouds
16,Aldan,RU,58.6031,125.3894,57.43,89,7,3.38,clear sky
17,Ambilobe,MG,-13.2,49.05,70.52,62,6,6.6,clear sky
18,Bukan,IR,36.521,46.2089,88.45,12,0,19.75,clear sky
19,Cherskiy,RU,68.75,161.3,32.38,94,13,10.58,few clouds
20,Kodiak,US,57.79,-152.4072,51.31,93,100,3.44,overcast clouds
21,Maniitsoq,GL,65.4167,-52.9,43.81,95,100,15.39,overcast clouds
22,Bredasdorp,ZA,-34.5322,20.0403,51.1,84,13,3.62,few clouds
23,Aklavik,CA,68.2191,-135.0107,52.66,91,100,1.77,light rain
24,Nakonde,ZM,-9.3421,32.745,65.52,44,86,8.79,overcast clouds
25,Tuktoyaktuk,CA,69.4541,-133.0374,47.68,83,100,2.73,overcast clouds
26,Ambovombe,MG,-25.1667,46.0833,71.31,71,41,9.82,scattered clouds
27,Lagoa,PT,39.05,-27.9833,72.54,79,65,4.27,broken clouds
28,Morehead,US,37.2711,-87.1764,85.98,64,0,3.44,clear sky
29,Hilo,US,19.7297,-155.09,74.28,99,62,1.99,broken clouds
30,Hermanus,ZA,-34.4187,19.2345,53.8,75,36,1.3,scattered clouds
31,Gladstone,AU,-23.85,151.25,60.73,94,100,5.75,overcast clouds
32,Ugoofaaru,MV,5.6667,73.0,82.18,77,100,17.81,overcast clouds
33,Pangai,TO,-19.8,-174.35,76.69,69,0,11.92,clear sky
34,Faanui,PF,-16.4833,-151.75,76.71,75,17,12.8,few clouds
35,Thompson,CA,55.7435,-97.8558,59.76,74,92,7.47,overcast clouds
36,Lorengau,PG,-2.0226,147.2712,80.17,78,99,4.09,overcast clouds
37,Zhanaozen,KZ,43.3,52.8,98.22,17,31,6.89,scattered clouds
38,Atuona,PF,-9.8,-139.0333,77.13,76,13,15.7,few clouds
39,Tuatapere,NZ,-46.1333,167.6833,43.63,88,98,2.53,overcast clouds
40,Chuy,UY,-33.6971,-53.4616,64.0,85,100,8.77,overcast clouds
41,Jamestown,US,42.097,-79.2353,78.06,73,100,16.11,overcast clouds
42,Nikolskoye,RU,59.7035,30.7861,78.69,50,0,4.09,clear sky
43,Jiuquan,CN,39.7432,98.5174,70.21,24,7,9.51,clear sky
44,Comodoro Rivadavia,AR,-45.8667,-67.5,44.46,42,20,24.16,few clouds
45,Cape Town,ZA,-33.9258,18.4232,59.34,76,53,5.01,broken clouds
46,Mataura,NZ,-46.1927,168.8643,40.48,95,100,1.79,overcast clouds
47,Mareeba,AU,-17.0,145.4333,65.44,86,70,1.83,broken clouds
48,Yellowknife,CA,62.456,-114.3525,61.29,52,9,7.56,clear sky
49,West Wendover,US,40.7391,-114.0733,87.01,25,0,0.0,clear sky
50,Tiksi,RU,71.6872,128.8694,40.46,85,29,8.9,scattered clouds
51,Dingle,PH,10.9995,122.6711,77.94,91,100,5.21,overcast clouds
52,Nova Olimpia,BR,-14.7972,-57.2881,95.92,20,4,7.02,clear sky
53,Bonavista,CA,48.6499,-53.1147,60.55,83,100,15.17,overcast clouds
54,Coquimbo,CL,-29.9533,-71.3436,55.13,82,75,8.05,broken clouds
55,Pevek,RU,69.7008,170.3133,31.87,99,100,8.68,light snow
56,San Cristobal,VE,7.7669,-72.225,78.98,75,97,6.82,overcast clouds
57,Lebu,CL,-37.6167,-73.65,52.27,83,89,2.01,overcast clouds
58,Miri,MY,4.4148,114.0089,80.1,83,94,6.64,overcast clouds
59,Port Alfred,ZA,-33.5906,26.891,58.17,81,0,3.0,clear sky
60,Ribeira Grande,PT,38.5167,-28.7,75.6,83,20,8.05,few clouds
